Data,ID,Treatment,Replicate,Time,Conc,SD
MA,A1T0,A,1,0,43000.51313,41942.54292
MA,A2T0,A,2,0,43000.51313,41942.54292
MA,A3T0,A,3,0,43000.51313,41942.54292
MA,B1T0,B,1,0,60082.90875,51593.77043
MA,B2T0,B,2,0,60082.90875,51593.77043
MA,B3T0,B,3,0,60082.90875,51593.77043
MA,C1T0,C,1,0,47123.85,44107.46007
MA,C2T0,C,2,0,47123.85,44107.46007
MA,C3T0,C,3,0,47123.85,44107.46007
MA,A1T1,A,1,5,72452.91938,58907.81777
MA,A2T1,A,2,5,58904.8125,47402.31729
MA,A3T1,A,3,5,40055.2725,49098.44639
MA,B1T1,B,1,5,89064.0765,94184.86729
MA,B2T1,B,2,5,51752.08527,75882.65572
MA,B3T1,B,3,5,45945.75375,49244.44269
MA,C1T1,C,1,5,72806.34825,59165.81969
MA,C2T1,C,2,5,49480.0425,54988.46359
MA,C3T1,C,3,5,44178.60938,48172.22109
MA,A1T2,A,1,10,62439.10125,40651.82654
MA,A2T2,A,2,10,72452.91938,49625.63946
MA,A3T2,A,3,10,45702.0097,37935.50848
MA,B1T2,B,1,10,72452.91938,37515.50764
MA,B2T2,B,2,10,39466.22438,33362.86126
MA,B3T2,B,3,10,40055.2725,33443.45449
MA,C1T2,C,1,10,64795.29375,37510.72342
MA,C2T2,C,2,10,58315.76438,37744.43735
MA,C3T2,C,3,10,37110.03188,36051.77639
MA,A1T3,A,1,20,80405.06906,38663.09209
MA,A2T3,A,2,20,100727.2294,46259.47762
MA,A3T3,A,3,20,69802.20281,34626.44295
MA,B1T3,B,1,20,105145.0903,56314.16171
MA,B2T3,B,2,20,110446.5234,47925.99526
MA,B3T3,B,3,20,68035.05844,38577.97786
MA,C1T3,C,1,20,74220.06375,26022.1898
MA,C2T3,C,2,20,56548.62,36531.98299
MA,C3T3,C,3,20,53014.33125,27496.29306
MA,A1T4,A,1,30,586747.1558,176431.5097
MA,A2T4,A,2,30,568799.5957,152398.0884
MA,A3T4,A,3,30,628164.6021,110763.9643
MA,B1T4,B,1,30,560516.1064,212768.9772
MA,B2T4,B,2,30,502531.6816,168931.6921
MA,B3T4,B,3,30,543949.1279,233279.7967
MA,C1T4,C,1,30,266452.2378,126777.9212
MA,C2T4,C,2,30,280975.9556,104451.3016
MA,C3T4,C,3,30,258886.6509,63914.90031
MA,A1T5,A,1,42,1070889.491,961915.8634
MA,A2T5,A,2,42,1756541.509,588848.4348
MA,A3T5,A,3,42,1427852.655,896931.2567
MA,B1T5,B,1,42,869435.0325,461014.5651
MA,B2T5,B,2,42,1899680.203,1268225.412
MA,B3T5,B,3,42,1463195.543,818921.6338
MA,C1T5,C,1,42,918915.075,824330.7073
MA,C2T5,C,2,42,1495004.141,615487.7192
MA,C3T5,C,3,42,968395.1175,1190577.48
PHP,A1T0,A,1,0,0.00335088,0.001825162
PHP,A2T0,A,2,0,0.00335088,0.001825162
